plugins,frequency_in_ms,execution_time_in_ms,overhead
hwpower_mf_likwid,1000,55743.40,0.88
hwpower_mf_likwid,500,55634.80,0.68
hwpower_mf_likwid,600,55384.16,0.23
hwpower_mf_likwid,700,55931.81,1.22
hwpower_mf_likwid,800,56003.01,1.35
hwpower_mf_likwid,900,55566.22,0.56
hwpower_mf_meminfo,1000,55638.36,0.69
hwpower_mf_meminfo,500,55848.46,1.07
hwpower_mf_meminfo,600,55660.81,0.73
hwpower_mf_meminfo,700,55760.93,0.91
hwpower_mf_meminfo,800,55633.29,0.68
hwpower_mf_meminfo,900,55491.56,0.42
hwpower_mf_papi,1000,55681.40,0.77
hwpower_mf_papi,500,55762.52,0.91
hwpower_mf_papi,600,55407.70,0.27
hwpower_mf_papi,700,55398.53,0.25
hwpower_mf_papi,800,55371.51,0.21
hwpower_mf_papi,900,55306.80,0.09
hwpower_mf_papi+likwid,1000,55650.39,0.71
hwpower_mf_papi+likwid,500,55973.60,1.30
hwpower_mf_papi+likwid,600,55616.00,0.65
hwpower_mf_papi+likwid,700,55918.91,1.20
hwpower_mf_papi+likwid,800,55557.33,0.54
hwpower_mf_papi+likwid,900,55641.73,0.69
hwpower_mf_papi+meminfo,1000,55782.43,0.95
hwpower_mf_papi+meminfo,500,55621.20,0.66
hwpower_mf_papi+meminfo,600,55727.76,0.85
hwpower_mf_papi+meminfo,700,55603.54,0.63
hwpower_mf_papi+meminfo,800,55668.34,0.74
hwpower_mf_papi+meminfo,900,55561.39,0.55
hwpower_mf_papi+rapl,1000,55628.79,0.67
hwpower_mf_papi+rapl,500,55802.21,0.99
hwpower_mf_papi+rapl,600,55483.92,0.41
hwpower_mf_papi+rapl,700,55469.32,0.38
hwpower_mf_papi+rapl,800,55837.69,1.05
hwpower_mf_papi+rapl,900,55943.42,1.24
hwpower_mf_rapl,1000,55519.68,0.47
hwpower_mf_rapl,500,55620.59,0.66
hwpower_mf_rapl,600,55804.83,0.99
hwpower_mf_rapl,700,55594.08,0.61
hwpower_mf_rapl,800,55760.48,0.91
hwpower_mf_rapl,900,55792.51,0.97
